username,reponame,repourl,stars
mrdoob,three.js,https://www.github.com/mrdoob/three.js,93700
pmndrs,react-three-fiber,https://www.github.com/pmndrs/react-three-fiber,23400
libgdx,libgdx,https://www.github.com/libgdx/libgdx,21800
BabylonJS,Babylon.js,https://www.github.com/BabylonJS/Babylon.js,21100
ssloy,tinyrenderer,https://www.github.com/ssloy/tinyrenderer,17600
lettier,3d-game-shaders-for-beginners,https://www.github.com/lettier/3d-game-shaders-for-beginners,15800
aframevr,aframe,https://www.github.com/aframevr/aframe,15600
FreeCAD,FreeCAD,https://www.github.com/FreeCAD/FreeCAD,14700
CesiumGS,cesium,https://www.github.com/CesiumGS/cesium,10800
metafizzy,zdog,https://www.github.com/metafizzy/zdog,10000
isl-org,Open3D,https://www.github.com/isl-org/Open3D,9300
blender,blender,https://www.github.com/blender/blender,9100
timzhang642,3D-Machine-Learning,https://www.github.com/timzhang642/3D-Machine-Learning,9000
a1studmuffin,SpaceshipGenerator,https://www.github.com/a1studmuffin/SpaceshipGenerator,7400
domlysz,BlenderGIS,https://www.github.com/domlysz/BlenderGIS,6600
FyroxEngine,Fyrox,https://www.github.com/FyroxEngine/Fyrox,6400
nerfstudio-project,nerfstudio,https://www.github.com/nerfstudio-project/nerfstudio,6100
google,model-viewer,https://www.github.com/google/model-viewer,5800
openscad,openscad,https://www.github.com/openscad/openscad,5800
spritejs,spritejs,https://www.github.com/spritejs/spritejs,5200
