username,reponame,repourl,stars
public-apis,public-apis,https://www.github.com/public-apis/public-apis,251000
neovim,neovim,https://www.github.com/neovim/neovim,68100
tiangolo,fastapi,https://www.github.com/tiangolo/fastapi,61200
strapi,strapi,https://www.github.com/strapi/strapi,55300
hoppscotch,hoppscotch,https://www.github.com/hoppscotch/hoppscotch,53400
ocornut,imgui,https://www.github.com/ocornut/imgui,49300
meilisearch,meilisearch,https://www.github.com/meilisearch/meilisearch,38100
slatedocs,slate,https://www.github.com/slatedocs/slate,35300
hasura,graphql-engine,https://www.github.com/hasura/graphql-engine,30000
Kong,insomnia,https://www.github.com/Kong/insomnia,29900
ccxt,ccxt,https://www.github.com/ccxt/ccxt,28800
httpie,cli,https://www.github.com/httpie/cli,28700
Binaryify,NeteaseCloudMusicApi,https://www.github.com/Binaryify/NeteaseCloudMusicApi,28700
trpc,trpc,https://www.github.com/trpc/trpc,27700
YMFE,yapi,https://www.github.com/YMFE/yapi,26400
encode,django-rest-framework,https://www.github.com/encode/django-rest-framework,26100
littlecodersh,ItChat,https://www.github.com/littlecodersh/ItChat,24100
directus,directus,https://www.github.com/directus/directus,22700
microsoft,api-guidelines,https://www.github.com/microsoft/api-guidelines,21700
shieldfy,API-Security-Checklist,https://www.github.com/shieldfy/API-Security-Checklist,21100
