username,reponame,repourl,stars
bitwarden,server,https://www.github.com/bitwarden/server,12900
dotnet,AspNetCore.Docs,https://www.github.com/dotnet/AspNetCore.Docs,11800
aspnetboilerplate,aspnetboilerplate,https://www.github.com/aspnetboilerplate/aspnetboilerplate,11200
abpframework,abp,https://www.github.com/abpframework/abp,10200
nopSolutions,nopCommerce,https://www.github.com/nopSolutions/nopCommerce,8300
ElectronNET,Electron.NET,https://www.github.com/ElectronNET/Electron.NET,6900
thangchung,clean-code-dotnet,https://www.github.com/thangchung/clean-code-dotnet,6300
RicoSuter,NSwag,https://www.github.com/RicoSuter/NSwag,6000
FastEndpoints,FastEndpoints,https://www.github.com/FastEndpoints/FastEndpoints,3000
dotnet,aspnet-api-versioning,https://www.github.com/dotnet/aspnet-api-versioning,2800
smartstore,SmartStoreNET,https://www.github.com/smartstore/SmartStoreNET,2600
JimBobSquarePants,ImageProcessor,https://www.github.com/JimBobSquarePants/ImageProcessor,2500
serenity-is,Serenity,https://www.github.com/serenity-is/Serenity,2400
mjebrahimi,Awesome-Microservices-DotNet,https://www.github.com/mjebrahimi/Awesome-Microservices-DotNet,2400
loic-sharma,BaGet,https://www.github.com/loic-sharma/BaGet,2400
TrilonIO,aspnetcore-angular-universal,https://www.github.com/TrilonIO/aspnetcore-angular-universal,1500
TrilonIO,aspnetcore-Vue-starter,https://www.github.com/TrilonIO/aspnetcore-Vue-starter,1200
MarimerLLC,csla,https://www.github.com/MarimerLLC/csla,1100
smartstore,Smartstore,https://www.github.com/smartstore/Smartstore,823
antonioCoco,SharPyShell,https://www.github.com/antonioCoco/SharPyShell,792
