username,reponame,repourl,stars
bregman-arie,devops-exercises,https://www.github.com/bregman-arie/devops-exercises,54500
localstack,localstack,https://www.github.com/localstack/localstack,48000
serverless,serverless,https://www.github.com/serverless/serverless,45000
donnemartin,data-science-ipython-notebooks,https://www.github.com/donnemartin/data-science-ipython-notebooks,25400
serverless-stack,sst,https://www.github.com/serverless-stack/sst,17200
pulumi,pulumi,https://www.github.com/pulumi/pulumi,16700
kubernetes-sigs,kubespray,https://www.github.com/kubernetes-sigs/kubespray,14300
ramitsurana,awesome-kubernetes,https://www.github.com/ramitsurana/awesome-kubernetes,14100
aws,aws-cli,https://www.github.com/aws/aws-cli,14100
getsops,sops,https://www.github.com/getsops/sops,13500
donnemartin,awesome-aws,https://www.github.com/donnemartin/awesome-aws,11700
caprover,caprover,https://www.github.com/caprover/caprover,10700
GoogleCloudPlatform,terraformer,https://www.github.com/GoogleCloudPlatform/terraformer,10600
aws,aws-cdk,https://www.github.com/aws/aws-cdk,10500
apereo,cas,https://www.github.com/apereo/cas,10300
aws,chalice,https://www.github.com/aws/chalice,9900
infracost,infracost,https://www.github.com/infracost/infracost,9400
aws-amplify,amplify-js,https://www.github.com/aws-amplify/amplify-js,9300
google,go-cloud,https://www.github.com/google/go-cloud,9100
aws,serverless-application-model,https://www.github.com/aws/serverless-application-model,9100
