username,reponame,repourl,stars
amphp,amp,https://www.github.com/amphp/amp,4000
danog,MadelineProto,https://www.github.com/danog/MadelineProto,2400
unreal4u,telegram-api,https://www.github.com/unreal4u/telegram-api,760
amphp,parallel,https://www.github.com/amphp/parallel,677
amphp,http-client,https://www.github.com/amphp/http-client,661
php-service-bus,service-bus,https://www.github.com/php-service-bus/service-bus,343
amphp,byte-stream,https://www.github.com/amphp/byte-stream,340
amphp,mysql,https://www.github.com/amphp/mysql,325
amphp,parallel-functions,https://www.github.com/amphp/parallel-functions,245
amphp,process,https://www.github.com/amphp/process,214
amphp,socket,https://www.github.com/amphp/socket,194
xtrime-ru,TelegramRSS,https://www.github.com/xtrime-ru/TelegramRSS,182
amphp,redis,https://www.github.com/amphp/redis,140
amphp,sync,https://www.github.com/amphp/sync,140
amphp,dns,https://www.github.com/amphp/dns,139
amphp,websocket-client,https://www.github.com/amphp/websocket-client,124
kelunik,acme,https://www.github.com/kelunik/acme,121
amphp,serialization,https://www.github.com/amphp/serialization,98
amphp,websocket-server,https://www.github.com/amphp/websocket-server,94
PeeHaa,mailgrab,https://www.github.com/PeeHaa/mailgrab,92
