username,reponame,repourl,stars
flutter,flutter,https://www.github.com/flutter/flutter,156000
facebook,react-native,https://www.github.com/facebook/react-native,111000
justjavac,free-programming-books-zh_CN,https://www.github.com/justjavac/free-programming-books-zh_CN,104000
Genymobile,scrcpy,https://www.github.com/Genymobile/scrcpy,88900
Hack-with-Github,Awesome-Hacking,https://www.github.com/Hack-with-Github/Awesome-Hacking,67700
google,material-design-icons,https://www.github.com/google/material-design-icons,48400
Solido,awesome-flutter,https://www.github.com/Solido/awesome-flutter,47900
wasabeef,awesome-android-ui,https://www.github.com/wasabeef/awesome-android-ui,47000
square,okhttp,https://www.github.com/square/okhttp,44300
android,architecture-samples,https://www.github.com/android/architecture-samples,43000
square,retrofit,https://www.github.com/square/retrofit,41900
dcloudio,uni-app,https://www.github.com/dcloudio/uni-app,38500
laurent22,joplin,https://www.github.com/laurent22/joplin,37800
fastlane,fastlane,https://www.github.com/fastlane/fastlane,37400
PhilJay,MPAndroidChart,https://www.github.com/PhilJay/MPAndroidChart,36700
skylot,jadx,https://www.github.com/skylot/jadx,35600
airbnb,lottie-android,https://www.github.com/airbnb/lottie-android,34100
shadowsocks,shadowsocks-android,https://www.github.com/shadowsocks/shadowsocks-android,33900
bumptech,glide,https://www.github.com/bumptech/glide,33800
xitu,gold-miner,https://www.github.com/xitu/gold-miner,32600
