username,reponame,repourl,stars
justjavac,free-programming-books-zh_CN,https://www.github.com/justjavac/free-programming-books-zh_CN,104000
angular,angular,https://www.github.com/angular/angular,89500
storybookjs,storybook,https://www.github.com/storybookjs/storybook,79700
leonardomso,33-js-concepts,https://www.github.com/leonardomso/33-js-concepts,57100
ionic-team,ionic-framework,https://www.github.com/ionic-team/ionic-framework,49400
prettier,prettier,https://www.github.com/prettier/prettier,46400
Asabeneh,30-Days-Of-JavaScript,https://www.github.com/Asabeneh/30-Days-Of-JavaScript,37700
SheetJS,sheetjs,https://www.github.com/SheetJS/sheetjs,33300
angular,angular-cli,https://www.github.com/angular/angular-cli,26200
angular,components,https://www.github.com/angular/components,23600
NativeScript,NativeScript,https://www.github.com/NativeScript/NativeScript,22800
goldbergyoni,javascript-testing-best-practices,https://www.github.com/goldbergyoni/javascript-testing-best-practices,21900
jhipster,generator-jhipster,https://www.github.com/jhipster/generator-jhipster,20800
pubkey,rxdb,https://www.github.com/pubkey/rxdb,19500
nrwl,nx,https://www.github.com/nrwl/nx,18600
sudheerj,javascript-interview-questions,https://www.github.com/sudheerj/javascript-interview-questions,17100
wailsapp,wails,https://www.github.com/wailsapp/wails,17000
teambit,bit,https://www.github.com/teambit/bit,16900
sweetalert2,sweetalert2,https://www.github.com/sweetalert2/sweetalert2,16100
jasontaylordev,CleanArchitecture,https://www.github.com/jasontaylordev/CleanArchitecture,12800
