username,reponame,repourl,stars
ansible,ansible,https://www.github.com/ansible/ansible,58200
bregman-arie,devops-exercises,https://www.github.com/bregman-arie/devops-exercises,54500
trailofbits,algo,https://www.github.com/trailofbits/algo,27500
MichaelCade,90DaysOfDevOps,https://www.github.com/MichaelCade/90DaysOfDevOps,23500
StreisandEffect,streisand,https://www.github.com/StreisandEffect/streisand,23000
kubernetes-sigs,kubespray,https://www.github.com/kubernetes-sigs/kubespray,14300
ansible,awx,https://www.github.com/ansible/awx,12500
easzlab,kubeasz,https://www.github.com/easzlab/kubeasz,9300
ansible-semaphore,semaphore,https://www.github.com/ansible-semaphore/semaphore,7400
geerlingguy,ansible-for-devops,https://www.github.com/geerlingguy/ansible-for-devops,7300
khuedoan,homelab,https://www.github.com/khuedoan/homelab,7100
Tikam02,DevOps-Guide,https://www.github.com/Tikam02/DevOps-Guide,7000
geerlingguy,mac-dev-playbook,https://www.github.com/geerlingguy/mac-dev-playbook,5400
rundeck,rundeck,https://www.github.com/rundeck/rundeck,5000
KubeOperator,KubeOperator,https://www.github.com/KubeOperator/KubeOperator,4800
netbootxyz,netboot.xyz,https://www.github.com/netbootxyz/netboot.xyz,4500
clong,DetectionLab,https://www.github.com/clong/DetectionLab,4200
ansible-community,molecule,https://www.github.com/ansible-community/molecule,3600
opendevops-cn,opendevops,https://www.github.com/opendevops-cn/opendevops,3500
dev-sec,ansible-collection-hardening,https://www.github.com/dev-sec/ansible-collection-hardening,3300
