username,reponame,repourl,stars
arendst,Tasmota,https://www.github.com/arendst/Tasmota,20100
MarlinFirmware,Marlin,https://www.github.com/MarlinFirmware/Marlin,15100
arduino,Arduino,https://www.github.com/arduino/Arduino,13700
tinygo-org,tinygo,https://www.github.com/tinygo-org/tinygo,13300
rwaldron,johnny-five,https://www.github.com/rwaldron/johnny-five,13100
SpacehuhnTech,esp8266_deauther,https://www.github.com/SpacehuhnTech/esp8266_deauther,12000
espressif,arduino-esp32,https://www.github.com/espressif/arduino-esp32,11100
gurugio,lowlevelprogramming-university,https://www.github.com/gurugio/lowlevelprogramming-university,8700
hybridgroup,gobot,https://www.github.com/hybridgroup/gobot,8400
platformio,platformio-core,https://www.github.com/platformio/platformio-core,6900
bblanchon,ArduinoJson,https://www.github.com/bblanchon/ArduinoJson,6200
tzapu,WiFiManager,https://www.github.com/tzapu/WiFiManager,5900
olikraus,u8g2,https://www.github.com/olikraus/u8g2,4100
ClemensElflein,OpenMower,https://www.github.com/ClemensElflein/OpenMower,4000
Arduino-IRremote,Arduino-IRremote,https://www.github.com/Arduino-IRremote/Arduino-IRremote,4000
hybridgroup,cylon,https://www.github.com/hybridgroup/cylon,4000
arduino,arduino-cli,https://www.github.com/arduino/arduino-cli,4000
blynkkk,blynk-library,https://www.github.com/blynkkk/blynk-library,3700
Serial-Studio,Serial-Studio,https://www.github.com/Serial-Studio/Serial-Studio,3500
NerdLang,nerd,https://www.github.com/NerdLang/nerd,3500
