username,reponame,repourl,stars
atom,atom,https://www.github.com/atom/atom,59500
miniflux,v2,https://www.github.com/miniflux/v2,5300
themerdev,themer,https://www.github.com/themerdev/themer,5200
shd101wyy,markdown-preview-enhanced,https://www.github.com/shd101wyy/markdown-preview-enhanced,3900
nteract,hydrogen,https://www.github.com/nteract/hydrogen,3900
atom,teletype,https://www.github.com/atom/teletype,2400
mmcdole,gofeed,https://www.github.com/mmcdole/gofeed,2200
NaiboWang,CommandlineConfig,https://www.github.com/NaiboWang/CommandlineConfig,2000
feeddd,feeds,https://www.github.com/feeddd/feeds,1900
mehcode,awesome-atom,https://www.github.com/mehcode/awesome-atom,1900
kurtmckee,feedparser,https://www.github.com/kurtmckee/feedparser,1700
joefitzgerald,go-plus,https://www.github.com/joefitzgerald/go-plus,1500
Glavin001,atom-beautify,https://www.github.com/Glavin001/atom-beautify,1500
ocaml,merlin,https://www.github.com/ocaml/merlin,1500
simplepie,simplepie,https://www.github.com/simplepie/simplepie,1500
t9md,atom-vim-mode-plus,https://www.github.com/t9md/atom-vim-mode-plus,1400
MagicStack,MagicPython,https://www.github.com/MagicStack/MagicPython,1400
file-icons,atom,https://www.github.com/file-icons/atom,1300
atom,apm,https://www.github.com/atom/apm,1300
fwcd,kotlin-language-server,https://www.github.com/fwcd/kotlin-language-server,1300
