username,reponame,repourl,stars
sindresorhus,awesome,https://www.github.com/sindresorhus/awesome,264000
vinta,awesome-python,https://www.github.com/vinta/awesome-python,176000
awesome-selfhosted,awesome-selfhosted,https://www.github.com/awesome-selfhosted/awesome-selfhosted,142000
avelino,awesome-go,https://www.github.com/avelino/awesome-go,106000
trimstray,the-book-of-secret-knowledge,https://www.github.com/trimstray/the-book-of-secret-knowledge,104000
papers-we-love,papers-we-love,https://www.github.com/papers-we-love/papers-we-love,75500
521xueweihan,HelloGitHub,https://www.github.com/521xueweihan/HelloGitHub,72100
Hack-with-Github,Awesome-Hacking,https://www.github.com/Hack-with-Github/Awesome-Hacking,67700
jaywcjlove,awesome-mac,https://www.github.com/jaywcjlove/awesome-mac,62500
enaqx,awesome-react,https://www.github.com/enaqx/awesome-react,57400
DopplerHQ,awesome-interview-questions,https://www.github.com/DopplerHQ/awesome-interview-questions,56700
MunGell,awesome-for-beginners,https://www.github.com/MunGell/awesome-for-beginners,54800
sindresorhus,awesome-nodejs,https://www.github.com/sindresorhus/awesome-nodejs,52200
prakhar1989,awesome-courses,https://www.github.com/prakhar1989/awesome-courses,48400
fffaraz,awesome-cpp,https://www.github.com/fffaraz/awesome-cpp,48000
Solido,awesome-flutter,https://www.github.com/Solido/awesome-flutter,47900
wasabeef,awesome-android-ui,https://www.github.com/wasabeef/awesome-android-ui,47000
binhnguyennus,awesome-scalability,https://www.github.com/binhnguyennus/awesome-scalability,46200
vsouza,awesome-ios,https://www.github.com/vsouza/awesome-ios,43500
tiimgreen,github-cheat-sheet,https://www.github.com/tiimgreen/github-cheat-sheet,41900
