username,reponame,repourl,stars
bregman-arie,devops-exercises,https://www.github.com/bregman-arie/devops-exercises,54500
pulumi,pulumi,https://www.github.com/pulumi/pulumi,16700
microsoft,recommenders,https://www.github.com/microsoft/recommenders,16100
ramitsurana,awesome-kubernetes,https://www.github.com/ramitsurana/awesome-kubernetes,14100
getsops,sops,https://www.github.com/getsops/sops,13500
Azure,azure-quickstart-templates,https://www.github.com/Azure/azure-quickstart-templates,13100
caprover,caprover,https://www.github.com/caprover/caprover,10700
infracost,infracost,https://www.github.com/infracost/infracost,9400
google,go-cloud,https://www.github.com/google/go-cloud,9100
microsoft,computervision-recipes,https://www.github.com/microsoft/computervision-recipes,9100
prowler-cloud,prowler,https://www.github.com/prowler-cloud/prowler,8400
microsoft,azuredatastudio,https://www.github.com/microsoft/azuredatastudio,7200
Netflix,metaflow,https://www.github.com/Netflix/metaflow,6900
midwayjs,midway,https://www.github.com/midwayjs/midway,6800
node-formidable,formidable,https://www.github.com/node-formidable/formidable,6700
thangchung,clean-code-dotnet,https://www.github.com/thangchung/clean-code-dotnet,6300
aquasecurity,tfsec,https://www.github.com/aquasecurity/tfsec,6100
budtmo,docker-android,https://www.github.com/budtmo/docker-android,6000
bridgecrewio,checkov,https://www.github.com/bridgecrewio/checkov,5800
milanm,DevOps-Roadmap,https://www.github.com/milanm/DevOps-Roadmap,5700
