username,reponame,repourl,stars
babel,babel,https://www.github.com/babel/babel,42400
swc-project,swc,https://www.github.com/swc-project/swc,28100
nylas,nylas-mail,https://www.github.com/nylas/nylas-mail,24700
electron-react-boilerplate,electron-react-boilerplate,https://www.github.com/electron-react-boilerplate/electron-react-boilerplate,21700
avajs,ava,https://www.github.com/avajs/ava,20500
SimulatedGREG,electron-vue,https://www.github.com/SimulatedGREG/electron-vue,15400
grab,front-end-guide,https://www.github.com/grab/front-end-guide,15000
jamiebuilds,babel-handbook,https://www.github.com/jamiebuilds/babel-handbook,11800
developit,htm,https://www.github.com/developit/htm,8300
grommet,grommet,https://www.github.com/grommet/grommet,8200
ben-rogerson,twin.macro,https://www.github.com/ben-rogerson/twin.macro,7500
angular-fullstack,generator-angular-fullstack,https://www.github.com/angular-fullstack/generator-angular-fullstack,6100
documentationjs,documentation,https://www.github.com/documentationjs/documentation,5700
insin,nwb,https://www.github.com/insin/nwb,5600
fkling,astexplorer,https://www.github.com/fkling/astexplorer,5600
thinkjs,thinkjs,https://www.github.com/thinkjs/thinkjs,5300
egoist,poi,https://www.github.com/egoist/poi,5300
duxianwei520,react,https://www.github.com/duxianwei520/react,4800
transitive-bullshit,create-react-library,https://www.github.com/transitive-bullshit/create-react-library,4800
babel,babel-loader,https://www.github.com/babel/babel-loader,4700
