username,reponame,repourl,stars
jlevy,the-art-of-command-line,https://www.github.com/jlevy/the-art-of-command-line,138000
nvm-sh,nvm,https://www.github.com/nvm-sh/nvm,69100
junegunn,fzf,https://www.github.com/junegunn/fzf,53600
google,zx,https://www.github.com/google/zx,38000
starship,starship,https://www.github.com/starship/starship,35400
LeCoupa,awesome-cheatsheets,https://www.github.com/LeCoupa/awesome-cheatsheets,34300
dylanaraps,pure-bash-bible,https://www.github.com/dylanaraps/pure-bash-bible,33800
koalaman,shellcheck,https://www.github.com/koalaman/shellcheck,32700
acmesh-official,acme.sh,https://www.github.com/acmesh-official/acme.sh,32600
mathiasbynens,dotfiles,https://www.github.com/mathiasbynens/dotfiles,29200
alebcay,awesome-shell,https://www.github.com/alebcay/awesome-shell,28100
jaywcjlove,linux-command,https://www.github.com/jaywcjlove/linux-command,24600
withfig,autocomplete,https://www.github.com/withfig/autocomplete,22300
dylanaraps,neofetch,https://www.github.com/dylanaraps/neofetch,18600
asdf-vm,asdf,https://www.github.com/asdf-vm/asdf,18100
Nyr,openvpn-install,https://www.github.com/Nyr/openvpn-install,17400
kingToolbox,WindTerm,https://www.github.com/kingToolbox/WindTerm,16000
rbenv,rbenv,https://www.github.com/rbenv/rbenv,15200
warpdotdev,Warp,https://www.github.com/warpdotdev/Warp,14700
faressoft,terminalizer,https://www.github.com/faressoft/terminalizer,14400
