username,reponame,repourl,stars
bitcoin,bitcoin,https://www.github.com/bitcoin/bitcoin,70600
ccxt,ccxt,https://www.github.com/ccxt/ccxt,28800
freqtrade,freqtrade,https://www.github.com/freqtrade/freqtrade,22500
HelloZeroNet,ZeroNet,https://www.github.com/HelloZeroNet/ZeroNet,18000
solana-labs,solana,https://www.github.com/solana-labs/solana,10500
bbfamily,abu,https://www.github.com/bbfamily/abu,10300
askmike,gekko,https://www.github.com/askmike/gekko,10000
dvf,blockchain,https://www.github.com/dvf/blockchain,7500
lbryio,lbry-sdk,https://www.github.com/lbryio/lbry-sdk,7200
lightningnetwork,lnd,https://www.github.com/lightningnetwork/lnd,7000
yeasy,blockchain_guide,https://www.github.com/yeasy/blockchain_guide,6500
spesmilo,electrum,https://www.github.com/spesmilo/electrum,6500
butor,blackbird,https://www.github.com/butor/blackbird,5700
btcsuite,btcd,https://www.github.com/btcsuite/btcd,5400
btcpayserver,btcpayserver,https://www.github.com/btcpayserver/btcpayserver,5200
bitcoinjs,bitcoinjs-lib,https://www.github.com/bitcoinjs/bitcoinjs-lib,5100
anders94,blockchain-demo,https://www.github.com/anders94/blockchain-demo,4900
jesse-ai,jesse,https://www.github.com/jesse-ai/jesse,4800
getumbrel,umbrel,https://www.github.com/getumbrel/umbrel,4700
bitcoinj,bitcoinj,https://www.github.com/bitcoinj/bitcoinj,4600
