username,reponame,repourl,stars
ccxt,ccxt,https://www.github.com/ccxt/ccxt,28800
discordjs,discord.js,https://www.github.com/discordjs/discord.js,23700
python-telegram-bot,python-telegram-bot,https://www.github.com/python-telegram-bot/python-telegram-bot,22600
wechaty,wechaty,https://www.github.com/wechaty/wechaty,16900
RasaHQ,rasa,https://www.github.com/RasaHQ/rasa,16800
hubotio,hubot,https://www.github.com/hubotio/hubot,16500
InstaPy,InstaPy,https://www.github.com/InstaPy/InstaPy,15600
gunthercox,ChatterBot,https://www.github.com/gunthercox/ChatterBot,13500
Rapptz,discord.py,https://www.github.com/Rapptz/discord.py,13300
leon-ai,leon,https://www.github.com/leon-ai/leon,13300
tgbot-collection,YYeTsBot,https://www.github.com/tgbot-collection/YYeTsBot,13000
howdyai,botkit,https://www.github.com/howdyai/botkit,11200
pedroslopez,whatsapp-web.js,https://www.github.com/pedroslopez/whatsapp-web.js,10900
sfyc23,EverydayWechat,https://www.github.com/sfyc23/EverydayWechat,9600
Mrs4s,go-cqhttp,https://www.github.com/Mrs4s/go-cqhttp,9200
lss233,chatgpt-mirai-qq-bot,https://www.github.com/lss233/chatgpt-mirai-qq-bot,8500
microsoft,ailab,https://www.github.com/microsoft/ailab,7500
yagop,node-telegram-bot-api,https://www.github.com/yagop/node-telegram-bot-api,7300
microsoft,botframework-sdk,https://www.github.com/microsoft/botframework-sdk,7200
telegraf,telegraf,https://www.github.com/telegraf/telegraf,6900
