username,reponame,repourl,stars
CyC2018,CS-Notes,https://www.github.com/CyC2018/CS-Notes,166000
practical-tutorials,project-based-learning,https://www.github.com/practical-tutorials/project-based-learning,112000
azl397985856,leetcode,https://www.github.com/azl397985856/leetcode,51800
fffaraz,awesome-cpp,https://www.github.com/fffaraz/awesome-cpp,48000
x64dbg,x64dbg,https://www.github.com/x64dbg/x64dbg,41300
youngyangyang04,leetcode-master,https://www.github.com/youngyangyang04/leetcode-master,40800
Light-City,CPlusPlusThings,https://www.github.com/Light-City/CPlusPlusThings,31900
carbon-language,carbon-lang,https://www.github.com/carbon-language/carbon-lang,30900
yuzu-emu,yuzu,https://www.github.com/yuzu-emu/yuzu,30200
huihut,interview,https://www.github.com/huihut/interview,29800
CMU-Perceptual-Computing-Lab,openpose,https://www.github.com/CMU-Perceptual-Computing-Lab/openpose,27700
microsoft,calculator,https://www.github.com/microsoft/calculator,27500
TheAlgorithms,C-Plus-Plus,https://www.github.com/TheAlgorithms/C-Plus-Plus,25100
doocs,leetcode,https://www.github.com/doocs/leetcode,22800
changkun,modern-cpp-tutorial,https://www.github.com/changkun/modern-cpp-tutorial,21400
dragonflydb,dragonfly,https://www.github.com/dragonflydb/dragonfly,20700
ethereum,solidity,https://www.github.com/ethereum/solidity,20600
gabime,spdlog,https://www.github.com/gabime/spdlog,19400
microsoft,vcpkg,https://www.github.com/microsoft/vcpkg,19300
ssloy,tinyrenderer,https://www.github.com/ssloy/tinyrenderer,17600
