username,reponame,repourl,stars
Genymobile,scrcpy,https://www.github.com/Genymobile/scrcpy,88900
neovim,neovim,https://www.github.com/neovim/neovim,68100
obsproject,obs-studio,https://www.github.com/obsproject/obs-studio,49400
fffaraz,awesome-cpp,https://www.github.com/fffaraz/awesome-cpp,48000
git,git,https://www.github.com/git/git,46900
FFmpeg,FFmpeg,https://www.github.com/FFmpeg/FFmpeg,37600
serhii-londar,open-source-mac-os-apps,https://www.github.com/serhii-londar/open-source-mac-os-apps,36300
vim,vim,https://www.github.com/vim/vim,31200
curl,curl,https://www.github.com/curl/curl,30800
huihut,interview,https://www.github.com/huihut/interview,29800
ggreer,the_silver_searcher,https://www.github.com/ggreer/the_silver_searcher,25100
pbatard,rufus,https://www.github.com/pbatard/rufus,24200
mpv-player,mpv,https://www.github.com/mpv-player/mpv,23200
ossrs,srs,https://www.github.com/ossrs/srs,22300
google,flatbuffers,https://www.github.com/google/flatbuffers,20900
ruby,ruby,https://www.github.com/ruby/ruby,20600
kovidgoyal,kitty,https://www.github.com/kovidgoyal/kitty,19500
microsoft,vcpkg,https://www.github.com/microsoft/vcpkg,19300
oracle,graal,https://www.github.com/oracle/graal,18900
radareorg,radare2,https://www.github.com/radareorg/radare2,18400
