username,reponame,repourl,stars
CSSEGISandData,COVID-19,https://www.github.com/CSSEGISandData/COVID-19,29200
nytimes,covid-19-data,https://www.github.com/nytimes/covid-19-data,7000
covid19india,covid19india-react,https://www.github.com/covid19india/covid19india-react,6900
Tokyo-Metro-Gov,covid19,https://www.github.com/Tokyo-Metro-Gov/covid19,6300
owid,covid-19-data,https://www.github.com/owid/covid-19-data,5600
pcm-dpc,COVID-19,https://www.github.com/pcm-dpc/COVID-19,3900
ieee8023,covid-chestxray-dataset,https://www.github.com/ieee8023/covid-chestxray-dataset,2900
disease-sh,API,https://www.github.com/disease-sh/API,2400
geohot,corona,https://www.github.com/geohot/corona,2400
WorldHealthOrganization,app,https://www.github.com/WorldHealthOrganization/app,2100
corona-warn-app,cwa-server,https://www.github.com/corona-warn-app/cwa-server,1900
ahmadawais,corona-cli,https://www.github.com/ahmadawais/corona-cli,1900
github,covid19-dashboard,https://www.github.com/github/covid19-dashboard,1600
ExpDev07,coronavirus-tracker-api,https://www.github.com/ExpDev07/coronavirus-tracker-api,1600
soroushchehresa,awesome-coronavirus,https://www.github.com/soroushchehresa/awesome-coronavirus,1500
mhdhejazi,CoronaTracker,https://www.github.com/mhdhejazi/CoronaTracker,1500
chandrikadeb7,Face-Mask-Detection,https://www.github.com/chandrikadeb7/Face-Mask-Detection,1500
neherlab,covid19_scenarios,https://www.github.com/neherlab/covid19_scenarios,1400
cirosantilli,china-dictatorship,https://www.github.com/cirosantilli/china-dictatorship,1300
chrismattmann,tika-python,https://www.github.com/chrismattmann/tika-python,1300
