username,reponame,repourl,stars
iamadamdev,bypass-paywalls-chrome,https://www.github.com/iamadamdev/bypass-paywalls-chrome,39500
jaywcjlove,linux-command,https://www.github.com/jaywcjlove/linux-command,24600
refined-github,refined-github,https://www.github.com/refined-github/refined-github,21500
openai-translator,openai-translator,https://www.github.com/openai-translator/openai-translator,17500
darkreader,darkreader,https://www.github.com/darkreader/darkreader,17100
checkly,headless-recorder,https://www.github.com/checkly/headless-recorder,14800
dailydotdev,daily,https://www.github.com/dailydotdev/daily,13700
unbug,codelf,https://www.github.com/unbug/codelf,13700
wong2,chatgpt-google-extension,https://www.github.com/wong2/chatgpt-google-extension,13200
gildas-lormeau,SingleFile,https://www.github.com/gildas-lormeau/SingleFile,11600
Anarios,return-youtube-dislike,https://www.github.com/Anarios/return-youtube-dislike,11400
immersive-translate,immersive-translate,https://www.github.com/immersive-translate/immersive-translate,11100
crimx,ext-saladict,https://www.github.com/crimx/ext-saladict,11000
listen1,listen1_chrome_extension,https://www.github.com/listen1/listen1_chrome_extension,10400
josStorer,chatGPTBox,https://www.github.com/josStorer/chatGPTBox,8600
alyssaxuu,screenity,https://www.github.com/alyssaxuu/screenity,8500
appbaseio,dejavu,https://www.github.com/appbaseio/dejavu,8200
AutomaApp,automa,https://www.github.com/AutomaApp/automa,7600
Kenshin,simpread,https://www.github.com/Kenshin/simpread,7400
ajayyy,SponsorBlock,https://www.github.com/ajayyy/SponsorBlock,7300
