username,reponame,repourl,stars
electron,electron,https://www.github.com/electron/electron,109000
puppeteer,puppeteer,https://www.github.com/puppeteer/puppeteer,84100
microsoft,playwright,https://www.github.com/microsoft/playwright,53700
FiloSottile,mkcert,https://www.github.com/FiloSottile/mkcert,42000
iamadamdev,bypass-paywalls-chrome,https://www.github.com/iamadamdev/bypass-paywalls-chrome,39500
jaywcjlove,linux-command,https://www.github.com/jaywcjlove/linux-command,24600
ovity,octotree,https://www.github.com/ovity/octotree,22500
segment-boneyard,nightmare,https://www.github.com/segment-boneyard/nightmare,19400
checkly,headless-recorder,https://www.github.com/checkly/headless-recorder,14800
google,WebFundamentals,https://www.github.com/google/WebFundamentals,13800
schickling,chromeless,https://www.github.com/schickling/chromeless,13300
GoogleChrome,chrome-extensions-samples,https://www.github.com/GoogleChrome/chrome-extensions-samples,12800
gildas-lormeau,SingleFile,https://www.github.com/gildas-lormeau/SingleFile,11600
casesandberg,react-color,https://www.github.com/casesandberg/react-color,11500
crimx,ext-saladict,https://www.github.com/crimx/ext-saladict,11000
MetaMask,metamask-extension,https://www.github.com/MetaMask/metamask-extension,10400
chromedp,chromedp,https://www.github.com/chromedp/chromedp,9400
moonD4rk,HackBrowserData,https://www.github.com/moonD4rk/HackBrowserData,8200
uBlock-LLC,uBlock,https://www.github.com/uBlock-LLC/uBlock,8100
Kenshin,simpread,https://www.github.com/Kenshin/simpread,7400
