username,reponame,repourl,stars
realm,SwiftLint,https://www.github.com/realm/SwiftLint,17600
facebook,infer,https://www.github.com/facebook/infer,14200
analysis-tools-dev,static-analysis,https://www.github.com/analysis-tools-dev/static-analysis,11500
Kristories,awesome-guidelines,https://www.github.com/Kristories/awesome-guidelines,9000
SonarSource,sonarqube,https://www.github.com/SonarSource/sonarqube,8000
checkstyle,checkstyle,https://www.github.com/checkstyle/checkstyle,7800
reviewdog,reviewdog,https://www.github.com/reviewdog/reviewdog,6600
facebook,pyre-check,https://www.github.com/facebook/pyre-check,6400
detekt,detekt,https://www.github.com/detekt/detekt,5600
import-js,eslint-plugin-import,https://www.github.com/import-js/eslint-plugin-import,4900
trekhleb,state-of-the-art-shitcode,https://www.github.com/trekhleb/state-of-the-art-shitcode,4800
pylint-dev,pylint,https://www.github.com/pylint-dev/pylint,4800
simplecov-ruby,simplecov,https://www.github.com/simplecov-ruby/simplecov,4600
pmd,pmd,https://www.github.com/pmd/pmd,4400
phpro,grumphp,https://www.github.com/phpro/grumphp,4000
kucherenko,jscpd,https://www.github.com/kucherenko/jscpd,3100
htmlhint,HTMLHint,https://www.github.com/htmlhint/HTMLHint,3000
codeclimate,codeclimate,https://www.github.com/codeclimate/codeclimate,2400
wemake-services,wemake-python-styleguide,https://www.github.com/wemake-services/wemake-python-styleguide,2300
uber,piranha,https://www.github.com/uber/piranha,2100
