username,reponame,repourl,stars
ovity,octotree,https://www.github.com/ovity/octotree,22500
gitpod-io,gitpod,https://www.github.com/gitpod-io/gitpod,11300
reviewdog,reviewdog,https://www.github.com/reviewdog/reviewdog,6600
danger,danger,https://www.github.com/danger/danger,5200
danger,danger-js,https://www.github.com/danger/danger-js,5000
joho,awesome-code-review,https://www.github.com/joho/awesome-code-review,4000
ajinabraham,nodejsscan,https://www.github.com/ajinabraham/nodejsscan,2200
microsoft,vscode-pull-request-github,https://www.github.com/microsoft/vscode-pull-request-github,2100
houndci,hound,https://www.github.com/houndci/hound,1900
mbj,mutant,https://www.github.com/mbj/mutant,1900
crev-dev,cargo-crev,https://www.github.com/crev-dev/cargo-crev,1900
reviewboard,reviewboard,https://www.github.com/reviewboard/reviewboard,1500
Tencent,CodeAnalysis,https://www.github.com/Tencent/CodeAnalysis,1500
Codium-ai,pr-agent,https://www.github.com/Codium-ai/pr-agent,1400
ryanmcdermott,code-review-tips,https://www.github.com/ryanmcdermott/code-review-tips,1400
bit4woo,python_sec,https://www.github.com/bit4woo/python_sec,1200
code-review-checklists,java-concurrency,https://www.github.com/code-review-checklists/java-concurrency,1200
TeamCodeStream,codestream,https://www.github.com/TeamCodeStream/codestream,900
jiangsir404,Audit-Learning,https://www.github.com/jiangsir404/Audit-Learning,873
enlightn,enlightn,https://www.github.com/enlightn/enlightn,807
