username,reponame,repourl,stars
ohmyzsh,ohmyzsh,https://www.github.com/ohmyzsh/ohmyzsh,161000
junegunn,fzf,https://www.github.com/junegunn/fzf,53600
sherlock-project,sherlock,https://www.github.com/sherlock-project/sherlock,42600
sharkdp,bat,https://www.github.com/sharkdp/bat,42300
BurntSushi,ripgrep,https://www.github.com/BurntSushi/ripgrep,39300
google,zx,https://www.github.com/google/zx,38000
jesseduffield,lazygit,https://www.github.com/jesseduffield/lazygit,37700
wagoodman,dive,https://www.github.com/wagoodman/dive,37700
chubin,cheat.sh,https://www.github.com/chubin/cheat.sh,35800
cli,cli,https://www.github.com/cli/cli,32900
spf13,cobra,https://www.github.com/spf13/cobra,32800
n8n-io,n8n,https://www.github.com/n8n-io/n8n,32200
httpie,cli,https://www.github.com/httpie/cli,28700
sharkdp,fd,https://www.github.com/sharkdp/fd,28400
alebcay,awesome-shell,https://www.github.com/alebcay/awesome-shell,28100
ibraheemdev,modern-unix,https://www.github.com/ibraheemdev/modern-unix,27300
acheong08,ChatGPT,https://www.github.com/acheong08/ChatGPT,27000
angular,angular-cli,https://www.github.com/angular/angular-cli,26200
tqdm,tqdm,https://www.github.com/tqdm/tqdm,25400
google,python-fire,https://www.github.com/google/python-fire,25000
