username,reponame,repourl,stars
vercel,next.js,https://www.github.com/vercel/next.js,110000
rust-lang,rust,https://www.github.com/rust-lang/rust,84100
sveltejs,svelte,https://www.github.com/sveltejs/svelte,71600
webpack,webpack,https://www.github.com/webpack/webpack,63400
gatsbyjs,gatsby,https://www.github.com/gatsbyjs/gatsby,54700
JetBrains,kotlin,https://www.github.com/JetBrains/kotlin,45400
parcel-bundler,parcel,https://www.github.com/parcel-bundler/parcel,42600
babel,babel,https://www.github.com/babel/babel,42400
evanw,esbuild,https://www.github.com/evanw/esbuild,35800
vlang,v,https://www.github.com/vlang/v,34000
carbon-language,carbon-lang,https://www.github.com/carbon-language/carbon-lang,30900
markedjs,marked,https://www.github.com/markedjs/marked,30200
swc-project,swc,https://www.github.com/swc-project/swc,28100
ziglang,zig,https://www.github.com/ziglang/zig,24500
FuelLabs,sway,https://www.github.com/FuelLabs/sway,24300
vercel,pkg,https://www.github.com/vercel/pkg,23600
v8,v8,https://www.github.com/v8/v8,21500
typst,typst,https://www.github.com/typst/typst,19900
AssemblyScript,assemblyscript,https://www.github.com/AssemblyScript/assemblyscript,15800
nim-lang,Nim,https://www.github.com/nim-lang/Nim,15400
