username,reponame,repourl,stars
localstack,localstack,https://www.github.com/localstack/localstack,48000
harness,drone,https://www.github.com/harness/drone,27100
jenkinsci,jenkins,https://www.github.com/jenkinsci/jenkins,21200
auchenberg,volkswagen,https://www.github.com/auchenberg/volkswagen,12700
theonedev,onedev,https://www.github.com/theonedev/onedev,11400
dagger,dagger,https://www.github.com/dagger/dagger,8700
openshift,origin,https://www.github.com/openshift/origin,8400
concourse,concourse,https://www.github.com/concourse/concourse,6900
gocd,gocd,https://www.github.com/gocd/gocd,6900
milanm,DevOps-Roadmap,https://www.github.com/milanm/DevOps-Roadmap,5700
gaia-pipeline,gaia,https://www.github.com/gaia-pipeline/gaia,5100
buildbot,buildbot,https://www.github.com/buildbot/buildbot,5100
Strider-CD,strider,https://www.github.com/Strider-CD/strider,4600
jenkins-x,jx,https://www.github.com/jenkins-x/jx,4400
ovh,cds,https://www.github.com/ovh/cds,4300
xcpretty,xcpretty,https://www.github.com/xcpretty/xcpretty,3800
iterative,cml,https://www.github.com/iterative/cml,3800
JamesIves,github-pages-deploy-action,https://www.github.com/JamesIves/github-pages-deploy-action,3800
hygieia,hygieia,https://www.github.com/hygieia/hygieia,3800
werf,werf,https://www.github.com/werf/werf,3700
